,natl_id,Label,address,State,zipcode,cat1,cat2,cat3,url,Notes,lon,lat
30,30,National Rural Electric Cooperative Association,"4301 Wilson Blvd, Arlington, VA 22203, USA",VA,22203,Fourth Tier,Association,National,,,-77.1129,38.88053
31,31,Office of Regulatory Staff,"1401 Main St #900, Columbia, SC 29201, USA",SC,29201,No Tier,Other,State Regulation,https://regulatorystaff.sc.gov/,"The Office of Regulatory Staff (ORS) represents the public interest of South Carolina in utility regulation for the major utility industries -- electric, natural gas, telecommunications, transportation, and water/wastewater -- before the Public Service Commission of South Carolina, the court system, the South Carolina General Assembly, and federal regulatory bodies. The ORS also has responsibility for oversight of railroad safety and natural gas pipeline safety in South Carolina.

The public interest, as defined by the South Carolina General Assembly, is as follows:

The concerns of the using and consuming public with respect to public utility services, regardless of the class of customer, and preservation of continued investment in and maintenance of utility facilities so as to provide reliable and high-quality utility services.",-81.0352,34.00401
32,32,Rural Utilities Service (RUS),"1400 Independence Ave SW, Washington, DC 20250, USA",DC,20250,No Tier,Other,Federal Support,,,-77.032,38.88752
33,33,South Carolina Power Team,"1201 Main St #250, Columbia, SC 29201, USA",SC,29201,No Tier,Program,Economic Development,,,-81.0348,34.00121
34,34,South Carolina Public Service Commission,"101 Executive Center Dr # 100, Columbia, SC 29210, USA",SC,29210,No Tier,Other,State Regulation,https://psc.sc.gov/,"To Serve The Public Of South Carolina By Providing Open And Effective Regulation And Adjudication Of The State’s Public Utilities, Through Consistent Administration Of The Law And Regulatory Process",-81.1215,34.03315
35,35,enLIGHTenSC,"808 Knox Abbott Dr, Cayce, SC 29033, USA",SC,29033,No Tier,Program,Education,https://www.enlightensc.org/about/,"EnlightenSC is an energy education program developed by educators for the consumer-owned electric cooperatives in South Carolina. The co-ops created EnlightenSC as a way to help teachers better access energy-related information and activities for their classrooms, resources designed to get young people excited about science, technology, engineering and mathematics: the STEM subjects. This website is a clearinghouse of lessons and activities, compiled from resources across the country, and correlated to S.C. science education standards for each grade level. The program has expanded to include a summer graduate courses for educators at no charge. EnlightenSC also sponsors the SC 4H Engineering Challenge – a competition for S.C. students.",-81.0624,33.98258
36,36,Washington Youth Tour and Cooperative Youth Summit,"Richmond Hwy, Virginia 22202, USA",VA,22202,No Tier,Program,Education,https://www.electric.coop/our-organization/youth-programs/about-the-youth-tour/,"Youth Development The Electric Cooperative Youth Tour has brought high school students to Washington, D.C. for a week in June every year since the late 1950s. Students apply and are selected for this program by their local electric cooperative. We believe that students should see their nation’s capital up close, learn about the political process and interact with their elected official",-77.1352,38.71582
37,37,South Carolina Living,"808 Knox Abbott Dr, Cayce, SC 29033, USA",SC,29210,No Tier,Program,Arts and Entertainment,http://scliving.coop/,,-81.0624,33.98258
38,38,Touchstone Energy's Co-op Connections,"4301 Wilson Blvd, Arlington, VA 22203, USA",VA,22203,No Tier,Program,Discount Club,https://www.connections.coop/aboutus.aspx,"Free membership program that provides discounts on food, health services. Touchstone Energy® Cooperatives’ Co-op Connections® Program helps you save more and live 
healthier every day! Our highly successful prescription discount offer is now joined by discounts on dental, vision,
hearing, lab work & imaging and chiropractor visits. Best of all, you get all these great benefits for FREE!",-77.113,38.88053
39,39,South Carolina 811,"7316, 810 Dutch Square Blvd, Columbia, SC 29210, USA",SC,29210,No Tier,Program,Safety,https://sc811.com/,Before you dig center for the state for underground utility lines.,-81.0945,34.03412
40,40,CoBank,"1908, 6340 S Fiddlers Green Cir, Greenwood Village, CO 80111, USA",CO,80111,Second Tier,CBN,Finance,http://www.cobank.com/,,-104.891,39.60341
41,41,No Barriers,"224 Canyon Ave Suite #207, Fort Collins, CO 80521, USA",CO,80521,No Tier,Program,Education,https://www.cobank.com/citizenship/no-barriers,"Disabled Veteran Eduation Program The CoBank/No Barriers program for rural veterans provides an opportunity for veterans with disabilities to challenge their own limitations, both real and perceived, physical and mental. Through successfully completing demanding activities like rafting, rock climbing and hiking, participants become better-equipped to overcome the obstacles they face in their daily lives. By sharing the experience with other veterans with disabilities, they also build a network of support that can last a lifetime.",-105.081,40.58529
42,42,Help My House,"I-20, Columbia, SC 29210, USA",SC,29210,No Tier,Program,Community,https://www.epa.gov/sites/production/files/2017-06/documents/help_my_house_profile_6-1-16_508.pdf,"Low cost loans for energy efficiency improvements up to 35% reduction in bills : A model
program for on-bill financing of
“whole-building” energy efficiency
upgrades, first piloted by eight
electric co-ops in predominantly
low-income rural areas of South
Carolina.",-81.1109,34.03681
43,43,Energy Smart SC,"808 Knox Abbott Dr, Cayce, SC 29033, USA",SC,29033,No Tier,Program,Education,https://energysmartsc.org/,Beat the Peak,-81.0624,33.98258
44,44,SC Green Power,"1 Riverwood Dr, Moncks Corner, SC 29461, USA",SC,29461,No Tier,Program,Solar Partnership,http://www.scgreenpower.com/About-Us/index.aspx,"Green Power is electricity generated by renewable resources like decomposing garbage in selected landfills, solar and wind. These resources are replenished naturally and  minimize harm to the environment.

 

Santee Cooper launched the Green Power Program in response to increased customer interest in renewable energy and concern for the environment. By taking this initial step to meet and encourage the growing demand for renewable energy, we can help reduce the reliance on limited resources while improving and preserving the environment for future generations.",-79.9777,33.19981
45,45,U.S. Department of Energy,"1000 Independence Ave SW, Washington, DC 20585, USA",DC,20585,No Tier,Other,Federal Support,,,-77.026,38.88697
46,46,North Eastern Strategic Alliance,"121 S Evander Dr, Florence, SC 29506, USA",SC,29502,No Tier,Program,Economic Development,,"NESA is a regional, non-profit, economic development organization that serves nine counties in the northeastern corner of South Carolina. Our primary objective is to create jobs for the residents of the region by working within the existing industry base and recruiting new companies. We assist these companies by providing research assistance, infrastructure support, workforce training opportunities, regional site selection assistance and we work with our county partners and the state to help coordinate incentive packages.",-79.6584,34.1954
47,47,South Carolina Chamber of Commerce,"1301 Gervais St #1100, Columbia, SC 29201, USA",SC,29201,No Tier,Other,Business Advocacy,https://www.scchamber.net/,state,-81.0316,34.0022
