"ID","FIPS","Label","Address","State","Zip","Category","Notes","address","formatted_address","lng","lat"
"20","","Pee Dee Electric Cooperative","1355 East McIver Road","SC","29540","Distribution","","Pee Dee Electric Cooperative, SC, 1355 East McIver Road, 29540","1355 E McIver Rd, Darlington, SC 29540, USA",-79.7890912,34.2570325
"21","","York Electric Cooperative","1385 East Alexander Love Highway","SC","29745","Distribution","","York Electric Cooperative, SC, 1385 East Alexander Love Highway, 29745","1385 Alexander Love Hwy, York, SC 29745, USA",-81.2058071,34.9888504
"22","","Coastal Electric Cooperative","2269 Jefferies Highway","SC","29488","Distribution","","Coastal Electric Cooperative, SC, 2269 Jefferies Highway, 29488","2269 Jefferies Hwy, Walterboro, SC 29488, USA",-80.6607976,32.9332399
"23","","Horry Electric Cooperative","2774 Cultra Road","SC","29528","Distribution","","Horry Electric Cooperative, SC, 2774 Cultra Road, 29528","2774 Cultra Rd, Conway, SC 29526, USA",-79.0796323,33.8725427
"24","","Lynches River Electric Cooperative","707 South Arant Street","SC","29728","Distribution","","Lynches River Electric Cooperative, SC, 707 South Arant Street, 29728","707 S Arant St, Pageland, SC 29728, USA",-80.40200449999999,34.7602201
"25","","Newberry Electric Cooperative","882 Wilson Road","SC","29108","Distribution","","Newberry Electric Cooperative, SC, 882 Wilson Road, 29108","882 Wilson Rd, Newberry, SC 29108, USA",-81.5926173,34.2781157
"26","","Santee Electric Cooperative","424 Sumter Highway","SC","29556","Distribution","","Santee Electric Cooperative, SC, 424 Sumter Highway, 29556","424 Sumter Hwy, Kingstree, SC 29556, USA",-79.85277409999999,33.6885138
"27","","Touchstone Energy","4301 Wilson Blvd","VA","22203","National Alliance","","Touchstone Energy, VA, 4301 Wilson Blvd, 22203","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.11298699999999,38.880529
"28","","National Rural Utilities Cooperative Finance Corporation","20701 Cooperative Way","VA","20166","Finance","Created and owned by America's electric coop network","National Rural Utilities Cooperative Finance Corporation, VA, 20701 Cooperative Way, 20166","20701 Cooperative Way, Sterling, VA 20166, USA",-77.4267655,39.0415808
"29","","Federated Rural Electric Insurance Exchange","P.O. Box 15147","KS","66285","Finance","","Federated Rural Electric Insurance Exchange, KS, P.O. Box 15147, 66285","7725 Renner Rd, Shawnee, KS 66217, USA",-94.7790594,38.9876327
"30","","National Rural Electric Cooperative Association","4301 Wilson Blvd.","VA","22203","National Alliance","","National Rural Electric Cooperative Association, VA, 4301 Wilson Blvd., 22203","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.1129086,38.8805334
"31","","Office of Regulatory Staff","1401 Main Street","SC","29201","Government","","Office of Regulatory Staff, SC, 1401 Main Street, 29201","1401 Main St #900, Columbia, SC 29201, USA",-81.0352106,34.0040058
"32","","Rural Utilities Service (RUS)","1400 Independence Avenue, SW","DC","20250","Federal Support","","Rural Utilities Service (RUS), DC, 1400 Independence Avenue, SW, 20250","1400 Independence Ave SW, Washington, DC 20250, USA",-77.0319753,38.8875228
"33","","South Carolina Power Team","1201 Main Street, Suite 1710","SC","29201","Development","","South Carolina Power Team, SC, 1201 Main Street, Suite 1710, 29201","1201 Main St #250, Columbia, SC 29201, USA",-81.0348008,34.0012126
"34","","South Carolina Public Service Commission","101 Executive Center Drive","SC","29210","Government","","South Carolina Public Service Commission, SC, 101 Executive Center Drive, 29210","101 Executive Center Dr # 100, Columbia, SC 29210, USA",-81.1214719,34.0331507
"35","","enLIGHTenSC","808 Knox Abbott Drive","SC","29033","Education","","enLIGHTenSC, SC, 808 Knox Abbott Drive, 29033","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06243479999999,33.9825755
"36","","Washington Youth Tour and Cooperative Youth Summit","2799 Richmond Hwy","VA","22202","Development","Youth Development","Washington Youth Tour and Cooperative Youth Summit, VA, 2799 Richmond Hwy, 22202","Richmond Hwy, Virginia, USA",-77.13520869999999,38.7158204
"37","","South Carolina Living","808 Knox Abbott Drive","SC","29210","Press","","South Carolina Living, SC, 808 Knox Abbott Drive, 29210","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06243479999999,33.9825755
"38","","Touchstone Energy's Co-op Connections","4301 Wilson Blvd","VA","22203","Development","Free membership program that provides discounts on food, health services. ","Touchstone Energy's Co-op Connections, VA, 4301 Wilson Blvd, 22203","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.11298699999999,38.880529
"39","","South Carolina 811","810 Dutch Square Blvd.","SC","29210","Services","Before you dig center for the state for underground utility lines.","South Carolina 811, SC, 810 Dutch Square Blvd., 29210","7316, 810 Dutch Square Blvd, Columbia, SC 29210, United States",-81.094522,34.034118
"40","","CoBank","6340 S. Fiddlers Green Circle","CO","80111","Finance","","CoBank, CO, 6340 S. Fiddlers Green Circle, 80111","1908, 6340 S Fiddlers Green Cir, Greenwood Village, CO 80111, United States",-104.891414,39.6034143
"41","","No Barriers","224 Canyon Ave, Suite 207","CO","80521","Development","Disabled Veteran Eduation Program","No Barriers, CO, 224 Canyon Ave, Suite 207, 80521","224 Canyon Ave Suite #207, Fort Collins, CO 80521, USA",-105.0808557,40.5852901
"42","","Help My House","20 Cooperative Way","SC","29210","Development","Low cost loans for energy efficiency improvements up to 35% reduction in bills","Help My House, SC, 20 Cooperative Way, 29210","I-20, Columbia, SC 29210, USA",-81.1108706,34.0368117
"43","","Energy Smart SC","808 Knox Abbott Drive","SC","29033","Development","Beat the Peak","Energy Smart SC, SC, 808 Knox Abbott Drive, 29033","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06243479999999,33.9825755
"44","","SC Green Power","1 Riverwood Drive","SC","29461","Solar","Renewable energy","SC Green Power, SC, 1 Riverwood Drive, 29461","1 Riverwood Dr, Moncks Corner, SC 29461, USA",-79.977701,33.199811
"45","","U.S. Department of Energy","1000 Independence Ave, SW","DC","20585","Federal Support","","U.S. Department of Energy, DC, 1000 Independence Ave, SW, 20585","1000 Independence Ave SW, Washington, DC 20585, USA",-77.0259726,38.8869743
"46","","North Eastern Strategic Alliance ","P.O. Box 100547","SC","29502","Development","Regional","North Eastern Strategic Alliance , SC, P.O. Box 100547, 29502","121 S Evander Dr, Florence, SC 29506, USA",-79.65837619999999,34.1953997
"47","","South Carolina Chamber of Commerce","1301 Gervais Street, Suite 1100","SC","29201","Government","state ","South Carolina Chamber of Commerce, SC, 1301 Gervais Street, Suite 1100, 29201","1301 Gervais St #1100, Columbia, SC 29201, USA",-81.031601,34.002201
"48","","South Carolina Department of Commerce","1201 Main Street, Suite 1600","SC","29201","Government","state ","South Carolina Department of Commerce, SC, 1201 Main Street, Suite 1600, 29201","1201 Main St # 1600, Columbia, SC 29201, USA",-81.03467479999999,34.0013716
"49","","South Carolina Association of Heating & A/C Contractors","PO Box 80265","SC","29416","Services","","South Carolina Association of Heating & A/C Contractors, SC, PO Box 80265, 29416","South Carolina, USA",-81.1637245,33.836081
"50","","Hilton Head Island Sea Turtle Protection Project","PO Box 23434","SC","29925","Development","","Hilton Head Island Sea Turtle Protection Project, SC, PO Box 23434, 29925","Hilton Head Island, SC, USA",-80.752608,32.216316
"51","","Discovery Channel School","One Discovery Place ","MD","20910","Development","Youth Education","Discovery Channel School, MD, One Discovery Place , 20910","1 Discovery Pl, Silver Spring, MD 20910, USA",-77.0276063,38.9947766
"52","","Santee Cooper","1 Riverwood Drive","SC","29461","Development","","Santee Cooper, SC, 1 Riverwood Drive, 29461","1 Riverwood Dr, Moncks Corner, SC 29461, USA",-79.9805852,33.199181
"53","","Congaree National Park","100 National Park Road","SC","29061","Press","Green Power Partner","Congaree National Park, SC, 100 National Park Road, 29061","100 National Park Rd, Hopkins, SC 29061, USA",-80.8233757,33.8296017
"54","","Starbucks Coffee","2401 Utah Ave S, 8th floor","WA","98134","Press","Green Power Partner","Starbucks Coffee, WA, 2401 Utah Ave S, 8th floor, 98134","2401 Utah Ave S 8th floor, Seattle, WA 98134, USA",-122.3353619,47.5807515
"55","","Operation Round-Up","808 Knox Abbott Drive","SC","29210","Development","Rounds up bills to help others in community who are struggling with finances. Need to get info on projects funded from operation round up","Operation Round-Up, SC, 808 Knox Abbott Drive, 29210","808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.06243479999999,33.9825755
"56","","Palmetto Economic Development Coorporation ","1201 Main Street, Ste 1710","SC","29201","Development","","Palmetto Economic Development Coorporation , SC, 1201 Main Street, Ste 1710, 29201","1201 Main St #250, Columbia, SC 29201, USA",-81.0348008,34.0012126
"57","","WIRE (Women Involved in Rural Electrification) ","808 Knox Abbott Drive","SC","29210","Development","","WIRE (Women Involved in Rural Electrification) , SC, 808 Knox Abbott Drive, 29210","808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.06243479999999,33.9825755
"58","","Alliance Park Anderson County ","411 Alliance Pkwy","SC","29621","Development","Industrial park power site","Alliance Park Anderson County , SC, 411 Alliance Pkwy, 29621","411 Alliance Pkwy, Anderson, SC 29621, USA",-82.5997008,34.6288825
"59","","Golden Corner","Hwy 59 Cleveland Creek Rd","SC","29643","Development","Industrial park power site","Golden Corner, SC, Hwy 59 Cleveland Creek Rd, 29643","SC-59 & Cleveland Creek Rd, Fair Play, SC 29643, USA",-82.98828999999999,34.5181759
"60","","TTI","100 Ryobi Drive","SC","29621","Development","Industrial park power site","TTI, SC, 100 Ryobi Drive, 29621","100 Ryobi Drive, Anderson, SC 29621, USA",-82.61178079999999,34.6324708
"61","","Alliance Park Pickens","1390 Smith Grove Rd","SC","29657","Development","Industrial park power site","Alliance Park Pickens, SC, 1390 Smith Grove Rd, 29657","1390 Smith Grove Rd, Liberty, SC 29657, USA",-82.6549058,34.7925605
"62","","OITP","4271 SC-11","SC","29693","Development","Industrial park power site","OITP, SC, 4271 SC-11, 29693","4271 SC-11, Westminster, SC 29693, USA",-83.0478744,34.6972629
"63","","South Carolina I-77 Alliiance","3200 Commerce Dr., Suite D","SC","29729","Development","","South Carolina I-77 Alliiance, SC, 3200 Commerce Dr., Suite D, 29729","3200 Commerce Dr, Richburg, SC 29729, USA",-81.034353,34.749939
"64","","York County Economic Development","1830 2nd Baxter Crossing","SC","29708","Development","","York County Economic Development, SC, 1830 2nd Baxter Crossing, 29708","1830 2nd Baxter Crossing, Fort Mill, SC 29708, USA",-80.96903999999999,35.029472
"65","","Colleton Solar Farm","1751 Hiers Corner Road","SC","29488","Solar","Solar Farm","Colleton Solar Farm, SC, 1751 Hiers Corner Road, 29488","1751 Hiers Corner Rd, Walterboro, SC 29488, USA",-80.6943798,32.9111571
"66","","MySCSolar","808 Knox Abbot Drive","SC","29033","Solar","","MySCSolar, SC, 808 Knox Abbot Drive, 29033","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.06243479999999,33.9825755
"67","","Carolina Connect","P.O. Box 1667","SC","29071","Internet","","Carolina Connect, SC, P.O. Box 1667, 29071",,,
"68","","Chesterfield County Economic Development Board","105 Green Street","SC","29709","Development","","Chesterfield County Economic Development Board, SC, 105 Green Street, 29709","105 Green St, Chesterfield, SC 29709, USA",-80.0853352,34.7364514
"69","","Clarendon County Development Board","411 Sunset Dr","SC","29102","Development","","Clarendon County Development Board, SC, 411 Sunset Dr, 29102","411 Sunset Dr, Manning, SC 29102, USA",-80.22229,33.6877835
"70","","Kershaw County Economic Development Office","80 Campus Dr.","SC","29021","Development","","Kershaw County Economic Development Office, SC, 80 Campus Dr., 29021","95 Innovation Way, Camden, SC 29020, USA",-80.58685469999999,34.2194027
"71","","Florence County Economic Development Partnership","1951 Pisgah Road","SC","29501","Development","","Florence County Economic Development Partnership, SC, 1951 Pisgah Road, 29501","SiMT Incubator Building, 1951 Pisgah Rd #120, Florence, SC 29501, USA",-79.8043486,34.2485438
"72","","Georgetown County Economic Development","716 Prince St","SC","29440","Development","","Georgetown County Economic Development, SC, 716 Prince St, 29440","716 Prince St, Georgetown, SC 29440, USA",-79.28159079999999,33.3673749
"73","","Williamsburg County Economic Development Board","130 West Main Street","SC","29556","Development","","Williamsburg County Economic Development Board, SC, 130 West Main Street, 29556","130 W Main St, Kingstree, SC 29556, USA",-79.83129199999999,33.6639194
