ID,FIPS,Label,Address,State,Zip,Category,cat1,cat2,cat3,url,Notes,address,formatted_address,lng,lat,subcat
20,,Pee Dee Electric Cooperative,1355 East McIver Road,SC,29540,Distribution,First Tier,Distribution,Distribution,,,"Pee Dee Electric Cooperative, SC, 1355 East McIver Road, 29540","1355 E McIver Rd, Darlington, SC 29540, USA",-79.7891,34.25703,
21,,York Electric Cooperative,1385 East Alexander Love Highway,SC,29745,Distribution,First Tier,Distribution,Distribution,,,"York Electric Cooperative, SC, 1385 East Alexander Love Highway, 29745","1385 Alexander Love Hwy, York, SC 29745, USA",-81.2058,34.98885,
22,,Coastal Electric Cooperative,2269 Jefferies Highway,SC,29488,Distribution,First Tier,Distribution,Distribution,,,"Coastal Electric Cooperative, SC, 2269 Jefferies Highway, 29488","2269 Jefferies Hwy, Walterboro, SC 29488, USA",-80.6608,32.93324,
23,,Horry Electric Cooperative,2774 Cultra Road,SC,29528,Distribution,First Tier,Distribution,Distribution,,,"Horry Electric Cooperative, SC, 2774 Cultra Road, 29528","2774 Cultra Rd, Conway, SC 29526, USA",-79.0796,33.87254,
24,,Lynches River Electric Cooperative,707 South Arant Street,SC,29728,Distribution,First Tier,Distribution,Distribution,,,"Lynches River Electric Cooperative, SC, 707 South Arant Street, 29728","707 S Arant St, Pageland, SC 29728, USA",-80.402,34.76022,
25,,Newberry Electric Cooperative,882 Wilson Road,SC,29108,Distribution,First Tier,Distribution,Distribution,,,"Newberry Electric Cooperative, SC, 882 Wilson Road, 29108","882 Wilson Rd, Newberry, SC 29108, USA",-81.5926,34.27812,
26,,Santee Electric Cooperative,424 Sumter Highway,SC,29556,Distribution,First Tier,Distribution,Distribution,,,"Santee Electric Cooperative, SC, 424 Sumter Highway, 29556","424 Sumter Hwy, Kingstree, SC 29556, USA",-79.8528,33.68851,
27,,Touchstone Energy,4301 Wilson Blvd,VA,22203,National Alliance,Second Tier,CBN,Support,,"Touchstone provides support to its members in various ways. Among other things, support has included training in strategy development and execution best practices. Several Touchstone members have subsequently been recognized by the Palladium Balanced Scorecard Hall of Fame for Executing Strategy™ for their success in developing winning strategies and executing on them; these members include Blue Ridge Electric Membership Corp, Powder River Energy Corporation, Ozarks Electric Cooperative, and Roanoke Electric Cooperative","Touchstone Energy, VA, 4301 Wilson Blvd, 22203","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.113,38.88053,
28,,National Rural Utilities Cooperative Finance Corporation,20701 Cooperative Way,VA,20166,Finance,Second Tier,CBN,Support,,Created and owned by America's electric coop network,"National Rural Utilities Cooperative Finance Corporation, VA, 20701 Cooperative Way, 20166","20701 Cooperative Way, Sterling, VA 20166, USA",-77.4268,39.04158,
29,,Federated Rural Electric Insurance Exchange,P.O. Box 15147,KS,66285,Finance,No Tier,Other,Insurance,,,"Federated Rural Electric Insurance Exchange, KS, P.O. Box 15147, 66285","7725 Renner Rd, Shawnee, KS 66217, USA",-94.7791,38.98763,
30,,National Rural Electric Cooperative Association,4301 Wilson Blvd.,VA,22203,National Alliance,Fourth Tier,Associations,National,,,"National Rural Electric Cooperative Association, VA, 4301 Wilson Blvd., 22203","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.1129,38.88053,
31,,Office of Regulatory Staff,1401 Main Street,SC,29201,Government,No Tier,Other,State Regulation,https://regulatorystaff.sc.gov/,"The Office of Regulatory Staff (ORS) represents the public interest of South Carolina in utility regulation for the major utility industries -- electric, natural gas, telecommunications, transportation, and water/wastewater -- before the Public Service Commission of South Carolina, the court system, the South Carolina General Assembly, and federal regulatory bodies. The ORS also has responsibility for oversight of railroad safety and natural gas pipeline safety in South Carolina.

The public interest, as defined by the South Carolina General Assembly, is as follows:

The concerns of the using and consuming public with respect to public utility services, regardless of the class of customer, and preservation of continued investment in and maintenance of utility facilities so as to provide reliable and high-quality utility services.","Office of Regulatory Staff, SC, 1401 Main Street, 29201","1401 Main St #900, Columbia, SC 29201, USA",-81.0352,34.00401,
32,,Rural Utilities Service (RUS),"1400 Independence Avenue, SW",DC,20250,Government,No Tier,Other,Federal Support,,,"Rural Utilities Service (RUS), DC, 1400 Independence Avenue, SW, 20250","1400 Independence Ave SW, Washington, DC 20250, USA",-77.032,38.88752,
33,,South Carolina Power Team,"1201 Main Street, Suite 1710",SC,29201,Development,No Tier,Program,Economic Development,,,"South Carolina Power Team, SC, 1201 Main Street, Suite 1710, 29201","1201 Main St #250, Columbia, SC 29201, USA",-81.0348,34.00121,
34,,South Carolina Public Service Commission,101 Executive Center Drive,SC,29210,Government,No Tier,Other,State Regulation,https://psc.sc.gov/,"To Serve The Public Of South Carolina By Providing Open And Effective Regulation And Adjudication Of The State’s Public Utilities, Through Consistent Administration Of The Law And Regulatory Process","South Carolina Public Service Commission, SC, 101 Executive Center Drive, 29210","101 Executive Center Dr # 100, Columbia, SC 29210, USA",-81.1215,34.03315,
35,,enLIGHTenSC,808 Knox Abbott Drive,SC,29033,Development,No Tier,Program,Education,https://www.enlightensc.org/about/,"EnlightenSC is an energy education program developed by educators for the consumer-owned electric cooperatives in South Carolina. The co-ops created EnlightenSC as a way to help teachers better access energy-related information and activities for their classrooms, resources designed to get young people excited about science, technology, engineering and mathematics: the STEM subjects. This website is a clearinghouse of lessons and activities, compiled from resources across the country, and correlated to S.C. science education standards for each grade level. The program has expanded to include a summer graduate courses for educators at no charge. EnlightenSC also sponsors the SC 4H Engineering Challenge – a competition for S.C. students.","enLIGHTenSC, SC, 808 Knox Abbott Drive, 29033","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.0624,33.98258,
36,,Washington Youth Tour and Cooperative Youth Summit,2799 Richmond Hwy,VA,22202,Development,No Tier,Program,Education,https://www.electric.coop/our-organization/youth-programs/about-the-youth-tour/,"Youth Development The Electric Cooperative Youth Tour has brought high school students to Washington, D.C. for a week in June every year since the late 1950s. Students apply and are selected for this program by their local electric cooperative. We believe that students should see their nation’s capital up close, learn about the political process and interact with their elected official","Washington Youth Tour and Cooperative Youth Summit, VA, 2799 Richmond Hwy, 22202","Richmond Hwy, Virginia, USA",-77.1352,38.71582,
37,,South Carolina Living,808 Knox Abbott Drive,SC,29210,Press,No Tier,Program,Arts & Entertainment,http://scliving.coop/,,"South Carolina Living, SC, 808 Knox Abbott Drive, 29210","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.0624,33.98258,
38,,Touchstone Energy's Co-op Connections,4301 Wilson Blvd,VA,22203,Development,No Tier,Program,Discount Club,https://www.connections.coop/aboutus.aspx,"Free membership program that provides discounts on food, health services. Touchstone Energy® Cooperatives’ Co-op Connections® Program helps you save more and live 
healthier every day! Our highly successful prescription discount offer is now joined by discounts on dental, vision,
hearing, lab work & imaging and chiropractor visits. Best of all, you get all these great benefits for FREE!","Touchstone Energy's Co-op Connections, VA, 4301 Wilson Blvd, 22203","4301 Wilson Blvd, Arlington, VA 22203, USA",-77.113,38.88053,
39,,South Carolina 811,810 Dutch Square Blvd.,SC,29210,Services,No Tier,Program,Safety,https://sc811.com/,Before you dig center for the state for underground utility lines.,"South Carolina 811, SC, 810 Dutch Square Blvd., 29210","7316, 810 Dutch Square Blvd, Columbia, SC 29210, United States",-81.0945,34.03412,
40,,CoBank,6340 S. Fiddlers Green Circle,CO,80111,Finance,Second Tier,CBN,Finance,http://www.cobank.com/,,"CoBank, CO, 6340 S. Fiddlers Green Circle, 80111","1908, 6340 S Fiddlers Green Cir, Greenwood Village, CO 80111, United States",-104.891,39.60341,
41,,No Barriers,"224 Canyon Ave, Suite 207",CO,80521,Development,No Tier,Program,Education,https://www.cobank.com/citizenship/no-barriers,"Disabled Veteran Eduation Program The CoBank/No Barriers program for rural veterans provides an opportunity for veterans with disabilities to challenge their own limitations, both real and perceived, physical and mental. Through successfully completing demanding activities like rafting, rock climbing and hiking, participants become better-equipped to overcome the obstacles they face in their daily lives. By sharing the experience with other veterans with disabilities, they also build a network of support that can last a lifetime.","No Barriers, CO, 224 Canyon Ave, Suite 207, 80521","224 Canyon Ave Suite #207, Fort Collins, CO 80521, USA",-105.081,40.58529,
42,,Help My House,20 Cooperative Way,SC,29210,Development,No Tier,Program,Community,https://www.epa.gov/sites/production/files/2017-06/documents/help_my_house_profile_6-1-16_508.pdf,"Low cost loans for energy efficiency improvements up to 35% reduction in bills : A model
program for on-bill financing of
“whole-building” energy efficiency
upgrades, first piloted by eight
electric co-ops in predominantly
low-income rural areas of South
Carolina.
","Help My House, SC, 20 Cooperative Way, 29210","I-20, Columbia, SC 29210, USA",-81.1109,34.03681,
43,,Energy Smart SC,808 Knox Abbott Drive,SC,29033,Development,No Tier,Program,Education,https://energysmartsc.org/,Beat the Peak,"Energy Smart SC, SC, 808 Knox Abbott Drive, 29033","808 Knox Abbott Dr, Cayce, SC 29033, USA",-81.0624,33.98258,
44,,SC Green Power,1 Riverwood Drive,SC,29461,Solar,No Tier,Program,Solar Partnership,http://www.scgreenpower.com/About-Us/index.aspx,"Green Power is electricity generated by renewable resources like decomposing garbage in selected landfills, solar and wind. These resources are replenished naturally and  minimize harm to the environment.

 

Santee Cooper launched the Green Power Program in response to increased customer interest in renewable energy and concern for the environment. By taking this initial step to meet and encourage the growing demand for renewable energy, we can help reduce the reliance on limited resources while improving and preserving the environment for future generations.","SC Green Power, SC, 1 Riverwood Drive, 29461","1 Riverwood Dr, Moncks Corner, SC 29461, USA",-79.9777,33.19981,
45,,U.S. Department of Energy,"1000 Independence Ave, SW",DC,20585,Government,No Tier,Other,Federal Support,,,"U.S. Department of Energy, DC, 1000 Independence Ave, SW, 20585","1000 Independence Ave SW, Washington, DC 20585, USA",-77.026,38.88697,
46,,North Eastern Strategic Alliance,P.O. Box 100547,SC,29502,Development,No Tier,Program,Economic Development,,"NESA is a regional, non-profit, economic development organization that serves nine counties in the northeastern corner of South Carolina. Our primary objective is to create jobs for the residents of the region by working within the existing industry base and recruiting new companies. We assist these companies by providing research assistance, infrastructure support, workforce training opportunities, regional site selection assistance and we work with our county partners and the state to help coordinate incentive packages.","North Eastern Strategic Alliance , SC, P.O. Box 100547, 29502","121 S Evander Dr, Florence, SC 29506, USA",-79.6584,34.1954,
47,,South Carolina Chamber of Commerce,"1301 Gervais Street, Suite 1100",SC,29201,Government,No Tier,Other,Business Advocacy,https://www.scchamber.net/,state,"South Carolina Chamber of Commerce, SC, 1301 Gervais Street, Suite 1100, 29201","1301 Gervais St #1100, Columbia, SC 29201, USA",-81.0316,34.0022,
48,,South Carolina Department of Commerce,"1201 Main Street, Suite 1600",SC,29201,Government,No Tier,Other,State Support,,state,"South Carolina Department of Commerce, SC, 1201 Main Street, Suite 1600, 29201","1201 Main St # 1600, Columbia, SC 29201, USA",-81.0347,34.00137,
49,,South Carolina Association of Heating & A/C Contractors,PO Box 80265,SC,29416,Services,No Tier,Associations,State,,,"South Carolina Association of Heating & A/C Contractors, SC, PO Box 80265, 29416","South Carolina, USA",-81.1637,33.83608,
